scenario,pass,actual_state_sequence,max_speed_cmd,max_steering_cmd,max_logical_suction_request,fault_state,notes
S01_ground_straight,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND,500,0,0,,ok; surfaces=GROUND/UNKNOWN
S02_ground_curve_left_right,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND,500,45,0,,ok; surfaces=GROUND/UNKNOWN
S03_ground_to_wall_transition_radius,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK,500,0,0,,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S04_vertical_wall_track,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK,500,0,0,,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S05_wall_to_ground_transition,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK > TRANSITION_DOWN > GROUND_RECOVERY > FINISHED,500,0,0,,ok; surfaces=GROUND/TRANSITION_DOWN/TRANSITION_UP/UNKNOWN/WALL
S06_cylindrical_or_curved_surface,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK,500,30,0,,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S07_sensor_stale_on_ground,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > GROUND_FAULT,500,0,0,GROUND_FAULT,ok; surfaces=GROUND/UNKNOWN
S08_sensor_stale_on_wall,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK > WALL_FAILSAFE_HOLD,500,0,0,WALL_FAILSAFE_HOLD,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S09_transition_timeout,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_FAILSAFE_HOLD,500,0,0,WALL_FAILSAFE_HOLD,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN
S10_suction_unverified,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK,500,0,0,,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S11_encoder_dropout,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK > WALL_FAILSAFE_HOLD,500,0,0,WALL_FAILSAFE_HOLD,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S12_emag_loss,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK > WALL_FAILSAFE_HOLD,500,0,0,WALL_FAILSAFE_HOLD,ok; surfaces=GROUND/TRANSITION_UP/UNKNOWN/WALL
S13_imu_axis_or_pitch_abnormal,True,BOOT > SELF_CHECK > SENSOR_CALIBRATION > SAFE_GROUND_READY > ARMED_GROUND > PRECHARGE > APPROACH_TRANSITION > TRANSITION_UP > WALL_TRACK > WALL_FAILSAFE_HOLD,500,0,0,WALL_FAILSAFE_HOLD,ok; surfaces=CYLINDER/GROUND/TRANSITION_UP/UNKNOWN/WALL
